_id,order_id,region,country,item_type,sales_channel,order_priority,order_date,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
19df6968-2861-4f8d-9f69-682861ff8d31,667593514,Middle East and North Africa,Morocco,Clothes,Online,M,2013-09-14T00:00:00.000Z,2013-10-19T00:00:00.000Z,4611,109.28,35.84,503890.08,165258.24,338631.84
a0e6a158-2289-40cb-a6a1-58228930cba5,752525556,Europe,Albania,Baby Food,Offline,H,2012-07-19T00:00:00.000Z,2012-08-13T00:00:00.000Z,7890,255.28,159.42,2014159.2,1257823.8,756335.4
252d400e-90fb-41e3-ad40-0e90fb21e33d,156530129,Sub-Saharan Africa,Tanzania,Fruits,Offline,H,2014-10-20T00:00:00.000Z,2014-11-29T00:00:00.000Z,9599,9.33,6.92,89558.67,66425.08,23133.59
769a5bf0-6aa7-4fe3-9a5b-f06aa72fe3c0,156295812,Australia and Oceania,East Timor,Cereal,Offline,M,2015-12-07T00:00:00.000Z,2015-12-30T00:00:00.000Z,259,205.7,117.11,53276.3,30331.49,22944.81
049fa0ee-e33e-4bc1-9fa0-eee33e8bc1fe,324669444,Europe,France,Cosmetics,Online,M,2015-12-07T00:00:00.000Z,2016-01-18T00:00:00.000Z,5758,437.2,263.33,2517397.6,1516254.14,1001143.46
dbd518d0-6408-4ed4-9518-d064087ed4d8,135178029,Europe,United Kingdom,Cosmetics,Online,L,2015-05-01T00:00:00.000Z,2015-05-16T00:00:00.000Z,1038,437.2,263.33,453813.6,273336.54,180477.06
c5761d44-9557-4e9e-b61d-4495579e9ecd,563681733,Sub-Saharan Africa,Togo,Cosmetics,Online,M,2015-09-08T00:00:00.000Z,2015-09-09T00:00:00.000Z,4806,437.2,263.33,2101183.2,1265563.98,835619.22
3ea92859-36f7-4158-a928-5936f7c1584e,710296428,Asia,Kazakhstan,Snacks,Online,L,2013-09-08T00:00:00.000Z,2013-10-25T00:00:00.000Z,1352,152.58,97.44,206288.16,131738.88,74549.28
b9a5eabc-2319-4ed9-a5ea-bc2319aed94e,520480573,Asia,Indonesia,Household,Online,C,2011-09-28T00:00:00.000Z,2011-09-28T00:00:00.000Z,623,668.27,502.54,416332.21,313082.42,103249.79
d1c47cd3-e97d-4b18-847c-d3e97d9b18ae,642134416,Europe,Finland,Vegetables,Offline,C,2012-10-09T00:00:00.000Z,2012-11-27T00:00:00.000Z,698,154.06,90.93,107533.88,63469.14,44064.74
40df99c0-b7cb-4fb3-9f99-c0b7cb7fb35d,659878194,Sub-Saharan Africa,Tanzania,Beverages,Online,L,2016-11-30T00:00:00.000Z,2017-01-16T00:00:00.000Z,1476,47.45,31.79,70036.2,46922.04,23114.16
d5e737a5-92b6-4e60-a737-a592b6ce60b2,830410039,Europe,Switzerland,Office Supplies,Offline,C,2014-07-29T00:00:00.000Z,2014-08-27T00:00:00.000Z,5639,651.21,524.96,3672173.19,2960249.44,711923.75
d7ccc1b4-454c-4ec3-8cc1-b4454c5ec3de,286891067,Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Offline,C,2011-10-02T00:00:00.000Z,2011-10-04T00:00:00.000Z,6297,651.21,524.96,4100669.37,3305673.12,794996.25
0ed63d1f-6076-4fde-963d-1f6076afdedc,807785928,Sub-Saharan Africa,Ethiopia,Cosmetics,Online,M,2011-07-07T00:00:00.000Z,2011-07-25T00:00:00.000Z,662,437.2,263.33,289426.4,174324.46,115101.94
23608ddd-86bc-4497-a08d-dd86bcc49710,529276502,Sub-Saharan Africa,Burundi,Beverages,Online,H,2011-03-09T00:00:00.000Z,2011-04-09T00:00:00.000Z,3533,47.45,31.79,167640.85,112314.07,55326.78
bacc9fbb-0f97-44e7-8c9f-bb0f9784e777,190777862,North America,United States of America,Personal Care,Online,H,2016-01-21T00:00:00.000Z,2016-02-19T00:00:00.000Z,4264,81.73,56.67,348496.72,241640.88,106855.84
